费用名称（中）,费用名称（英文）,缩写,费用发生的服务段,适用的服务(委托类型）,最终由谁收取（供应商),对应的结算费用编码,对应的CW1费用编码,描述（中文）,描述（英文）,是否异常费用,计费单位,对应的财务科目,特殊适用范围说明,父记录
卡口使用费,,,,,,"CS002001, 55719",,,,,,,,保税相关费用
电子账册使用费,,,,,,WMS01020,,,,,,,,保税相关费用
代垫进出区杂费,,,,,,55095   ,,,,,,,,保税相关费用
保税核注清单进口费,,,,,,55255,,,,,,,,保税相关费用
关检增值服务及异常处置,,,,,,,,,,,,,,关检费用
滞报金,,,,,,CS001015,,,,,,,,关检增值服务及异常处置
退关费,,,,,,"CSN037  , CSN037",,,,,,,,关检增值服务及异常处置
关检罚款,,,,,,CQN002  ,,,,,,,,关检增值服务及异常处置
查验拖车费,,,,,,"CQ001011, 55281",,,,,,,,关检增值服务及异常处置
关检查验费,,,,,,"55825   , 655230",,,,,,,,关检增值服务及异常处置
代垫查验费用,,,,,,CQ001015,,,,,,,,关检增值服务及异常处置
代垫手续费,,,,,,"55123   , 55123, 55306",,,,,,,,关检增值服务及异常处置
重开进场联,,,,,,55279,,,,,,,,关检增值服务及异常处置
垫税代理,,,,,,OPN071,,,,,,,,关检增值服务及异常处置
关检保证金,,,,,,,,,,,,,,关检费用
税费,,,,,,,,,,,,,,关检费用
消费税,,,,,,CS001030,,,,,,,,税费
反倾销税,,,,,,CS001031,,,,,,,,税费
内销补税,,,,,,"OPN062  , OPN062",,,,,,,,税费
美国海关保证金（单次）,,,,,,"55233, 55664",,,,,,,,关检保证金
美国海关保证金（年度）,,,,,,"55232, 55664",,,,,,,,关检保证金
报关费,,,,,,"CS001001, 550006, 55312   ",ECCLR,,,,,,,关检常规服务费
转关费,,,,,,CS001028,,,,,,,,关检常规服务费
报检费,,,,,,"CQN003  , 55777, 55301",,,,,,,,关检常规服务费
动检费,,,,,,0058,,,,,,,,关检常规服务费
植物检疫费,,,,,,0091,,,,,,,,关检常规服务费
关税,,CD,,,,CS001005,,,,,,,,税费
增值税,,,,,,"CS001014, 55772, SEA01010",,,,,,,,税费
印花税,,,,,,55182,,,,,,,,税费
仓储费用,,,,,,,,,,,,,,
仓库运作成本,,,,,,,,,,,,,,仓储费用
仓储费用,,,,,,,,,,,,,,仓储费用
前置仓费,,,,,,55905   ,,,,,,,,仓储费用
库前服务费,,,,,,55853   ,,,,,,,,仓储费用
出入库费,,,,,,WMS01001,WHIN,,,,,,,仓储费用
代垫进出库杂费,,,,,,55080   ,,,,,,,,仓储费用
入库登记费,,,,,,55781   ,,,,,,,,仓储费用
仓储费,,,,,,"WMS01005, 655255, 55129, 55780, 20070702, 55667, 55669, 55670",WSTG4PL,,,,,,,仓储费用
房租费,,,,,,"WMS01018, 55116",ADRENT,,,,,,,仓库运作成本
公共事业费用,,,,,,,,,,,,,,仓库运作成本
水费,,,,,,55908   ,,,,,,,,公共事业费用
电费,,,,,,WMS01014,,,,,,,,公共事业费用
网费,,,,,,,,,,,,,,公共事业费用
物业费,,,,,,"55133   , 55133",,,,,,,,仓库运作成本
